🇨🇳央视频道❤,#genre#
CCTV-13   2K,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV-14   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8?
CCTV-15   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-16   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16   2K,http://111.20.40.160/PLTV/88888893/224/3221226921/index.m3u8

📡港澳台❤,#genre#
凤凰中文,http://27.185.233.92/tlive.fengshows.cn/live/0201pcchd.flv?txSecret=1505bcd57654d491f4f694464967bc35&txTime=18b6066253d$春盈标清
凤凰中文,http://27.185.233.92/tlive.fengshows.cn/live/0201pcchd.flv?txSecret=398430fa02dfc500ca9943c0254875fb&txTime=18b4b108516$春盈稳定
凤凰中文,http://27.185.233.92/tlive.fengshows.cn/live/0201pcchd.flv?txSecret=716bc98da39bbe6970bb00cae3d82ac5&txTime=18b1bf58cc4$春盈快速
凤凰中文,http://r.jdshipin.com/cCCzW$春盈高清
凤凰中文,http://111.20.40.166:80/PLTV/88888893/224/3221226547/index.m3u8$春盈极速
凤凰资讯,http://27.185.233.92/tlive.fengshows.cn/live/0201pinhd.flv?txSecret=d3a4bb98e92a9a90a634da3bd4f02f46&txTime=18b60630698$春盈标清
凤凰资讯,http://27.185.233.92/tlive.fengshows.cn/live/0201pinhd.flv?txSecret=12325beaf95737e583472eccef4272cd&txTime=18b4b0f7c0c$春盈稳定
凤凰资讯,http://27.185.233.92/tlive.fengshows.cn/live/0201pinhd.flv?txSecret=40a6c6305518f56b99b636232493b933&txTime=18b1bf67f53$春盈快速
凤凰资讯,http://r.jdshipin.com/0Rp07$春盈高清
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8$春盈极速
无线新闻,https://pull-f5-spe.ixigua.com/live/YesLiveTV-77e291b2-4abc-4a95-8da7-a22ebf402964/index.m3u8?by=yeslivetv.com
无线新闻,http://r.jdshipin.com/CkuBd
凤凰香港,http://27.185.233.92/tlive.fengshows.cn/live/0201phkhd.flv?txSecret=fd9ec34a7f76c47bc4c8d8d2e780eda7&txTime=18b4b0c3741
HOY資訊,https://pull-f5-spe.ixigua.com/live/YesLiveTV-3e9f20e4-e6fd-4292-ac7a-3180610b1edd/index.m3u8?by=yeslivetv.com
HOY資訊,http://sc2022.stream-link.org/tv2306.php?id=h17
无线财经,https://pull-f5-spe.ixigua.com/live/YesLiveTV-1294969b-d12a-4471-809b-c017bdd5a70c/index.m3u8?by=yeslivetv.com
香港文旅,http://ali-play.lezhibo.com:80/lezhibo/d803719995ab40df83fca5e638cac7f4.m3u8
高清翡翠,https://epg.pw/stream/b43f94b33e3f2222a12195487519c698c65d7c2d50bc627205f24e20919c6fe2.m3u8
高清翡翠,http://r.jdshipin.com/n90gt
高清翡翠,http://r.jdshipin.com/qClQf
TVB明珠,https://pull-f5-spe.ixigua.com/live/YesLiveTV-7c1f17c3-7605-4317-a585-893f6c5dd3b1/index.m3u8?by=yeslivetv.com
TVB明珠,http://r.jdshipin.com/ZQ4kN
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港34台,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
J2香港台,http://r.jdshipin.com/Nr5jq
杭州明珠,http://183.129.242.178:3333/tsfile/live/1016_1.m3u8
杭州明珠,https://epg.pw/stream/c36e441778f4e35a8c533c1f05685c718083206c7de8d702f305c10cc7d2be86.m3u8
杭州明珠,http://hzdx.chiang.fun:3333/tsfile/live/1016_1.m3u8
Bre面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
厦门一套,http://183.250.157.35:8880/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
厦门二套,http://183.250.157.35:8880/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
澳門莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳門莲花,https://p.ggiptv.com/v/macaulotustv.php
4k👉修复,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
无线财经,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxNR4FqM3EgPoN7yqNVDCIzY/ts
无线财经,http://r.jdshipin.com/jUx8K$特殊线路
⑥港集专线直播,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6


🌏全球直播❤,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
中國環球,http://live.cgtn.com/500/prog_index.m3u8
华文一台,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
华文六台,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1662611110-0-0-cf20c4fcf669736034b6ceac0d01d403
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
BRICS台,https://brics.bonus-tv.ru/cdn/brics/chinese/playlist.m3u8
俄罗斯频,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
乌克兰台,https://cdn.1tvcrimea.ru/1tvcrimea.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
朝鲜新闻,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
俄罗斯台,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
日本华语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
环球频道,http://live.cgtn.com/500/prog_index.m3u8
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
CNA频道,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
欧洲体育,http://europa-crtvg.flumotion.com/playlist.m3u8
欧洲华01,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39 
欧洲华02,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华06,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe 
动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
地理野生,http://admdn2.cdn.mangomolo.com/nagtv/smil:nagtv.stream.smil/chunklist_b800000_t64NDgwcA==.m3u8

🇨🇳地方频道❤,#genre#
湖南卫视,http://183.94.40.49:9901/tsfile/live/0128_1.m3u8?key=txiptv&url=tvzb.com
浙江卫视,http://183.94.40.49:9901/tsfile/live/0124_1.m3u8?key=txiptv&url=tvzb.com
江苏卫视,http://183.94.40.49:9901/tsfile/live/0127_1.m3u8?key=txiptv&url=tvzb.com
北京卫视,http://183.94.40.49:9901/tsfile/live/0122_1.m3u8?key=txiptv&url=tvzb.com
东方卫视,http://183.94.40.49:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://183.94.40.49:9901/tsfile/live/0125_1.m3u8?key=txiptv&url=tvzb.com
深圳卫视,http://183.94.40.49:9901/tsfile/live/0126_1.m3u8?key=txiptv&url=tvzb.com
安徽卫视,http://183.94.40.49:9901/tsfile/live/0130_1.m3u8?key=txiptv&url=tvzb.com
江西卫视,http://183.94.40.49:9901/tsfile/live/0138_1.m3u8?key=txiptv&url=tvzb.com
天津卫视,http://183.94.40.49:9901/tsfile/live/0135_1.m3u8?key=txiptv&url=tvzb.com
河北卫视,http://183.94.40.49:9901/tsfile/live/faacts/0117_1.m3u8?key=txiptv&url=tvzb.com
辽宁卫视,http://183.94.40.49:9901/tsfile/live/0121_1.m3u8?key=txiptv&url=tvzb.com
湖北卫视,http://183.94.40.49:9901/tsfile/live/0132_1.m3u8?key=txiptv&url=tvzb.com
湖北经视,http://183.94.40.49:9901/tsfile/live/1000_1.m3u8?key=txiptv&url=tvzb.com
湖北综合,http://183.94.40.49:9901/tsfile/live/1013_1.m3u8?key=txiptv&url=tvzb.com
河南卫视,http://183.94.40.49:9901/tsfile/live/0139_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,http://183.94.40.49:9901/tsfile/live/0142_1.m3u8?key=txiptv&url=tvzb.com
四川卫视,http://183.94.40.49:9901/tsfile/live/0123_1.m3u8?key=txiptv&url=tvzb.com
山东卫视,http://183.94.40.49:9901/tsfile/live/0131_1.m3u8?key=txiptv&url=tvzb.com
广西卫视,http://183.94.40.49:9901/tsfile/live/0113_1.m3u8?key=txiptv&url=tvzb.com
云南卫视,http://183.94.40.49:9901/tsfile/live/0119_1.m3u8?key=txiptv&url=tvzb.com
贵州卫视,http://183.94.40.49:9901/tsfile/live/0120_1.m3u8?key=txiptv&url=tvzb.com
东南卫视,http://183.94.40.49:9901/tsfile/live/0137_2.m3u8?key=txiptv&url=tvzb.com
金鹰纪实,http://183.94.40.49:9901/tsfile/live/1009_1.m3u8?key=txiptv&url=tvzb.com
金鹰卡通,http://183.94.40.49:9901/tsfile/live/1011_1.m3u8?key=txiptv&url=tvzb.com
法治天地,http://183.94.40.49:9901/tsfile/live/faacts/1006_1.m3u8?key=txiptv&url=tvzb.com
卡酷动画,http://183.94.40.49:9901/tsfile/live/1012_1.m3u8?key=txiptv&url=tvzb.com
求索频道,http://183.94.40.49:9901/tsfile/live/0116_1.m3u8?key=txiptv&url=tvzb.com
魅力足球,http://183.94.40.49:9901/tsfile/live/1023_1.m3u8?key=txiptv&url=tvzb.com
高清电影,http://183.94.40.49:9901/tsfile/live/1014_1.m3u8?key=txiptv&url=tvzb.com
动作电影,http://183.94.40.49:9901/tsfile/live/1028_1.m3u8?key=txiptv&url=tvzb.com
家庭影院,http://183.94.40.49:9901/tsfile/live/1030_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1401
深圳卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shenzhenHD_7000
东方卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=dongfangHD_7000
北京卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=beijingHD_7000
湖南卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=hunanHD_7000
江西卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jiangxiHD_7000
四川卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=sichuanHD_7000
江苏卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jiangsuHD_7000
浙江卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhejiangHD_7000
天津卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1415_4500
河北卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1426_4500
重庆卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=chongqingHD_7000
贵州卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=guizhouHD_7000
辽宁卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=liaoningHD_7000
湖北卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=hubeiHD_7000
黑龙江卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=heilongjiangHD_7000
海南卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1451_4500
三沙卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1453_4500
陕西卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1452_4500
东南卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=dongnanweishiHD
山东卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1416_4500
安徽卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=anhuiHD
吉林卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jilinHD
河南卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=henangaoqing
广西卫视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=guangxi
梨园频道,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1937
武术世界,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1938
乐游,http://103.45.68.47:666/gy/gy844/豆豆.php?id=quanjishiHD_7000
求索纪录,http://103.45.68.47:666/gy/gy844/豆豆.php?id=QSJLHD_7000
求索科学,http://103.45.68.47:666/gy/gy844/豆豆.php?id=qiusuokexueHD_7000
求索动物,http://103.45.68.47:666/gy/gy844/豆豆.php?id=QSDWHD_7000
求索生活,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1612
环球奇观,http://103.45.68.47:666/gy/gy844/豆豆.php?id=huanqiuqiguan
魅力足球,http://103.45.68.47:666/gy/gy844/豆豆.php?id=meiliyinyueHD_7000
劲爆体育,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jinbaotiyuHD_7000
怀旧剧场576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=huaijiujuchang
风云音乐576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=fengyunyinyue
风云足球576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=fengyunzuqiu
风云剧场576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=fengyunjuchang
快乐垂钓576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=huanxiaojuchang
动漫秀场576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=dongmanxiuchang
哈哈炫动576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1258
金鹰卡通576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jinyingkatong
卡酷少儿576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=kakushaoer
新动漫,http://103.45.68.47:666/gy/gy844/豆豆.php?id=xindongman
优漫卡通576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=youmankatong
都市剧场,http://103.45.68.47:666/gy/gy844/豆豆.php?id=dushijuchangHD
文物宝库,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1939
金色学堂,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1940
东方财经,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1941
游戏风云,http://103.45.68.47:666/gy/gy844/豆豆.php?id=youxifengyunHD
新视觉,http://103.45.68.47:666/gy/gy844/豆豆.php?id=xinshijuegaoqing
书画576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shuhua
斗门融媒,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2207
广东新闻高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1454_4500
广东民生高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1455_4500
大湾区卫视高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1456_4500
广东少儿高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1457_4500
广东影视高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1458_4500
嘉佳卡通高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1459_4500
岭南戏曲高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1460_4500
G导视高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=GHDdaoshi_7500
广东珠江,http://103.45.68.47:666/gy/gy844/豆豆.php?id=gdzhujiangHD_7500
广东经济科教,http://103.45.68.47:666/gy/gy844/豆豆.php?id=GDjingjikejiaoHD_7000
广东体育,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1413
广东综艺4K,http://103.45.68.47:666/gy/gy844/豆豆.php?id=GDZYHD4K_38000
翡翠台,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1350_4500
明珠台,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1351_4500
凤凰中文.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=fhzw_1500
星空卫视.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=xingkong_1500
澳视澳门,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1352_4500
澳亚卫视.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=aoya_1500
珠海1.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhuhaiyitao_1500
珠海2.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhuhaiertao_1500
汕头综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shantouyitaogaoqing_4500
汕头经济生活,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shantouertaogaoqing_4500
汕头文旅体育,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2508_4500
汕尾文化生活,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shanweigonggongHD
汕尾新闻综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shanweizongheHD
潮州综合高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3131_4500
潮州民生高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3132_4500
潮安综合高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=chaoanzongheHD_4500
饶平台高清,http://103.45.68.47:666/gy/gy844/豆豆.php?id=raopingtaiHD_4500
中山综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3665
中山香山文化,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3663
中山教育,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3664
梅州1,http://103.45.68.47:666/gy/gy844/豆豆.php?id=meizhou1HD_4500
梅州2,http://103.45.68.47:666/gy/gy844/豆豆.php?id=meizhou2HD_4500
梅州导视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=meizhoudaoshiHD
梅县综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=meixianHD
兴宁市576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=xingning1
平远综合576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=pingyuan1
五华576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=wuhua1HD
东莞新闻综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2121
东莞生活资讯,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2122
佛山综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=foshanzongheHD_4500
佛山公共,http://103.45.68.47:666/gy/gy844/豆豆.php?id=foshangonggongHD_4500
佛山影视,http://103.45.68.47:666/gy/gy844/豆豆.php?id=foshanyingshiHD_4500
南海综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=nanhaiHD_4500
鹤山综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3709
顺德综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shundeHD_4500
惠州1,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2314
惠州2,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2316
博罗综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2305
惠东,http://103.45.68.47:666/gy/gy844/豆豆.php?id=huidongHD
惠阳台576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=huiyangtai
廉江综合-1,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3209
廉江综合-2,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3210
广州综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1432
广州新闻,http://103.45.68.47:666/gy/gy844/豆豆.php?id=1433
广州法治.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=gzeconomic_1500
广州竞赛.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=gzcompetition_1500
广州影视.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=gzfilms_1500
增城电视台.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2079
湛江综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhanjiangzonghe_1500
湛江公共.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhanjianggonggong_1500
韶关新闻综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shaoguanzonghe_1500
韶关绿色生活.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=shaoguangonggong_1500
始兴综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2641
江门综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3712_1500
江门侨乡生活.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jiangmenyitao_1500
新会综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=xinhui_1500
佛冈.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2405
怀集综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=2805
云浮综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=yunfuyitao_1500
云浮文旅.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=yunfuertao_1500
肇庆综合.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhaoqingyitao_1500
肇庆生活服务.576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zhaoqingertao_1500
茂名综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3012
茂名文化生活,http://103.45.68.47:666/gy/gy844/豆豆.php?id=3013
海丰综合576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=haifengzonghe
河源公共576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=heyuanertao_1500
河源综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=heyuanzongheHD
紫金台,http://103.45.68.47:666/gy/gy844/豆豆.php?id=zijintai
化州综合360,http://103.45.68.47:666/gy/gy844/豆豆.php?id=huazhoutai
揭东综合576,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jiedongzonghe
揭阳生活,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jieyanggonggongHD
揭阳综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=jieyangzongheHD
普宁台,http://103.45.68.47:666/gy/gy844/豆豆.php?id=puningtai
清远文旅生活,http://103.45.68.47:666/gy/gy844/豆豆.php?id=qingyuangonggongHD
清远新闻综合,http://103.45.68.47:666/gy/gy844/豆豆.php?id=qingyuanzongheHD
信宜,http://103.45.68.47:666/gy/gy844/豆豆.php?id=xinyigaoqing
英德综合360,http://103.45.68.47:666/gy/gy844/豆豆.php?id=yingdezonghe


🇨🇳河南频道❤,#genre#
河南|河南民生,http://123.6.9.146/live/jz-henanminsheng/live.m3u8
河南|安阳新闻,http://tvpull.dxhmt.cn:9081/tv/10522-1.m3u8
河南|宝丰综合,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8
河南|登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
河南|邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8
河南|范县新闻综合,http://live.dxhmt.cn:9080/13603832636/13abd3089d9c47058fe34c49a6182981.m3u8
河南|方城一套,http://tvpull.dxhmt.cn:9081/tv/11322-1.m3u8
河南|封丘新闻综合,http://tvpull.dxhmt.cn:9081/tv/10727-1.m3u8
河南|扶沟综合,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8
河南|巩义新闻综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8
河南|固始综合,http://tvpull.dxhmt.cn:9081/tv/11525-1.m3u8
河南|光山综合,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8
河南|河南新闻,http://live.dxhmt.cn:9081/tv/10825-1.m3u8
河南|鹤岗新闻综合,http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
河南|滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8
河南|淮滨综合,http://tvpull.dxhmt.cn:9081/tv/11527-1.m3u8
河南|潢川综合,http://tvpull.dxhmt.cn:9081/tv/11526-1.m3u8
河南|辉县新闻综合,http://tvpull.dxhmt.cn:9081/tv/10782-1.m3u8
河南|获嘉综合,http://tvpull.dxhmt.cn:9081/tv/10724-1.m3u8
河南|郏县综合,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8
河南|建安综合,http://tvpull.dxhmt.cn:9081/tv/11003-1.m3u8
河南|焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
河南|焦作教育,http://zhpull.dxhmt.cn/jiaozuo/9c10435ad24c409baee219ec289e17d0/playlist.m3u8
